Field #,Start,End,Length,Name,Valid Content,Justify
1,1,1,,YTDRecordIndicator,"""D""",
2,2,14,13,CrossReference,,
3,15,15,1,ActionCode,"""A"" = Accepted, or ""C"" = Corrected",
4,16,17,2,DisbursementNumber,,
5,18,24,7,AcceptedDisbursementAmount,,
6,25,25,1,AcceptedSignIndicator,"""P"" = positive, or ""N"" = negative",
7,26,33,8,DisbursementDate,CCYYMMDD,
8,34,41,8,PaymentPeriodStartDate,CCYYMMDD,
9,42,48,7,PercentElgibilityUsed,"00000000, the last 4 digits repreent less than 1 percent. No decimal point",
10,49,55,7,TotalEligibilityUsedAcrossAllSchools,"00000000, the last 4 digits repreent less than 1 percent. No decimal point",
11,56,63,8,DisbursementProcessDate,"CCYYMMDD, Date disbursement was processed by COD",
12,64,71,8,RoutingID,"00000002-99999999, routing ID for attended school (maybe)",
13,72,75,4,FinancialAwardYear,"CCYY, Last year in the two year cycle",
14,76,81,6,AttendedCampusPellID,,
15,82,116,35,StudentLastName,,
16,117,126,10,StudentSuffix,,
17,127,161,35,StudentFirstName,,
18,162,196,35,StudentMiddleName,,
19,197,205,9,StudentSSN,,
20,206,213,8,StudentDateOfBirth,CCYYMMDD,
21,214,215,1,DisbursementSequenceNumber,"1-65 school-assigned, 66-90 COD assigned or Web",
22,216,216,1,DisbursementReleaseIndicator,"""T"" = true, ""F"" = false",
23,217,218,2,PreviousDisbursementSequenceNumber,,
24,219,225,7,LifetimeEligibilityUsed,"0000000, last 3 digits indicate less than 1 percent, no decimal point",
25,226,226,1,EnrollmentStatus,"""F"" = full-time, ""Q"" = three-quarters time, ""H"" = half-time, ""L"" = less than half-time",
26,227,229,3,EnrollmentIntensityPercentage,0-100,
27,230,236,7,ProgramCIPCode1,format is 00.0000 - 99.0000,
28,237,241,5,PublishedProgramLengthYears1,"00V000 to 99V000, or blank. Decimal is implied",
29,242,246,5,PublishedProgramLengthMonths1,"00V000 to 99V000, or blank. Decimal is implied",
30,247,252,6,PublishedProgramLengthWeeks1,"000V000 to 999V000, or blank. Decimal is implied",
31,253,253,1,SpecialProgramIndicator,"""A"" = Selective Admission Associate Program, ""B"" = Bachelor's Degree Completion Program, ""N"" = Not applicable, ""P"" = Preparatory Coursework Graduate Professional Program, ""T"" = Non-credential Teacher Certification Program, ""U"" = Prparatory Coursework Undergraduate Program",
32,254,255,2,ProgramCredentialLevel,"01 = Undergraduate certificate or diploma, 02 = Associate degree, 03 = Bachelor's degree, 04 = Post Baccalaureate certificate, 05 = Masters Degree, 06 = Doctoral Degree, 07 = First Professional degree, 08 = Graduate professional certificate, 99 = Non-credential programs, default to blank",
33,256,261,6,WeeksProgramsAcademicYear1,"000V000 to 999V999, total number of weeks of instruction in the program's academic year",
34,262,268,7,ProgramCIPCode2,format is 00.0000 - 99.0000,
35,269,273,5,PublishedProgramLengthYears2,"00V000 to 99V000, or blank. Decimal is implied",
36,274,278,5,PublishedProgramLengthMonths2,"00V000 to 99V000, or blank. Decimal is implied",
37,279,284,6,PublishedProgramLengthWeeks2,"000V000 to 999V000, or blank. Decimal is implied",
38,285,285,1,SpecialProgramIndicator2,"""A"" = Selective Admission Associate Program, ""B"" = Bachelor's Degree Completion Program, ""N"" = Not applicable, ""P"" = Preparatory Coursework Graduate Professional Program, ""T"" = Non-credential Teacher Certification Program, ""U"" = Prparatory Coursework Undergraduate Program",
39,286,287,2,ProgramCredentialLevel2,"01 = Undergraduate certificate or diploma, 02 = Associate degree, 03 = Bachelor's degree, 04 = Post Baccalaureate certificate, 05 = Masters Degree, 06 = Doctoral Degree, 07 = First Professional degree, 08 = Graduate professional certificate, 99 = Non-credential programs, default to blank",
40,288,293,6,WeeksProgramsAcademicYear2,"000V000 to 999V999, total number of weeks of instruction in the program's academic year",
41,294,300,7,ProgramCIPCode3,format is 00.0000 - 99.0000,
42,301,395,5,PublishedProgramLengthYears3,"00V000 to 99V000, or blank. Decimal is implied",
43,306,310,5,PublishedProgramLengthMonths3,"00V000 to 99V000, or blank. Decimal is implied",
44,311,316,6,PublishedProgramLengthWeeks3,"000V000 to 999V000, or blank. Decimal is implied",
45,317,317,1,SpecialProgramIndicator3,"""A"" = Selective Admission Associate Program, ""B"" = Bachelor's Degree Completion Program, ""N"" = Not applicable, ""P"" = Preparatory Coursework Graduate Professional Program, ""T"" = Non-credential Teacher Certification Program, ""U"" = Prparatory Coursework Undergraduate Program",
46,318,319,2,ProgramCredentialLevel3,"01 = Undergraduate certificate or diploma, 02 = Associate degree, 03 = Bachelor's degree, 04 = Post Baccalaureate certificate, 05 = Masters Degree, 06 = Doctoral Degree, 07 = First Professional degree, 08 = Graduate professional certificate, 99 = Non-credential programs, default to blank",
47,320,325,6,WeeksProgramsAcademicYear3,"000V000 to 999V999, total number of weeks of instruction in the program's academic year",
48,326,329,4,ProgramCIPCodeYear,CCYY,
49,330,337,8,PaymentPeriodEndDate,CCYYMMDD,
50,338,338,1,IncarceratedStudentIndicator,"""Y"", ""N"" or blank",
51,339,350,12,Filler4,,
